x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,posture
0.002337299,1.970714,0.4646711,0.9979704,-0.4645019,1.00203,0.602281,0.310156,-0.5985216,0.3136449,0.6801445,-0.3767939,-0.6465657,-0.3588809,0.26972,-0.008381587,-0.26972,0.008381225,0.2996743,-1.190343,-0.3026921,-1.187797,0.3265651,-2.29262,-0.3217018,-2.287408,1
0.01862913,1.968119,0.4878278,1.017681,-0.4121483,0.9808871,0.6311297,0.3171304,-0.5411943,0.3063999,0.6743298,-0.3902497,-0.6469103,-0.3454468,0.2585403,-0.00911496,-0.2585403,0.009115322,0.2725519,-1.205125,-0.3043801,-1.167634,0.3517022,-2.326428,-0.2718451,-2.250237,1
0.03422046,1.960788,0.4769948,1.034903,-0.3335754,0.9599482,0.6156865,0.3233901,-0.4500675,0.2992479,0.6177867,-0.4022157,-0.6016479,-0.3317844,0.2289515,-0.009761466,-0.2289511,0.009761107,0.2254549,-1.21404,-0.2839271,-1.144671,0.3528742,-2.35494,-0.2043783,-2.212942,1
0.04844099,1.950864,0.4320768,1.049099,-0.2353558,0.9412023,0.5549314,0.3286861,-0.3334927,0.2928192,0.5126043,-0.4119087,-0.5182157,-0.319065,0.1836344,-0.01027803,-0.1836344,0.01027803,0.1625605,-1.217243,-0.2437351,-1.121498,0.3298918,-2.377904,-0.1243001,-2.179604,1
0.06049109,1.940993,0.35576,1.06005,-0.1245226,0.926537,0.4518021,0.3328436,-0.2001229,0.2876996,0.366008,-0.4187246,-0.405678,-0.3082801,0.1263641,-0.01063937,-0.1263641,0.01063937,0.08919416,-1.215595,-0.187657,-1.100724,0.2843031,-2.395826,-0.03704159,-2.154267,1
0.06943385,1.933406,0.253208,1.067538,-0.007893326,0.9173608,0.313134,0.3356818,-0.05805352,0.2843236,0.1897365,-0.4222098,-0.2731078,-0.3001263,0.06143623,-0.0108317,-0.06143587,0.0108317,0.01106038,-1.210143,-0.1202791,-1.084417,0.2190948,-2.409077,0.0519865,-2.139995,1
0.07426823,1.929316,0.1317174,1.071153,0.1081256,0.9144135,0.1493256,0.3369807,0.08536419,0.2829212,-0.001150858,-0.4220735,-0.1287961,-0.2949812,-0.006713221,-0.01084964,0.006713221,0.01084929,-0.06629679,-1.201744,-0.04639852,-1.073812,0.1384724,-2.417316,0.1375594,-2.138328,1
0.07407892,1.928785,0.0003304438,1.07035,0.2174124,0.9177619,-0.02633504,0.3365231,0.2232445,0.2835288,-0.189973,-0.4182517,0.01979302,-0.292951,-0.07369352,-0.01069392,0.07369317,0.01069427,-0.137786,-1.190944,0.02922257,-1.069299,0.04775473,-2.419476,0.2146257,-2.149221,1
0.06825595,1.930973,-0.1307873,1.064674,0.3139603,0.9269207,-0.1989639,0.3341812,0.3487969,0.2860231,-0.3605335,-0.4109813,0.1656967,-0.2939499,-0.1352754,-0.01037386,0.1352754,0.01037351,-0.1989419,-1.178079,0.1019677,-1.070601,-0.04677647,-2.414199,0.2783338,-2.17129,1
0.05671333,1.934569,-0.2513089,1.05404,0.3919032,0.9410125,-0.3539273,0.3300098,0.4551429,0.2901767,-0.4992404,-0.4008209,0.3021148,-0.2977676,-0.1875426,-0.009905616,0.1875426,0.009905616,-0.2460824,-1.163468,0.1674732,-1.077008,-0.1382273,-2.400478,0.3242374,-2.202215,1
0.04005314,1.93822,-0.3519116,1.038896,0.4457846,0.9588997,-0.478832,0.3242722,0.5354491,0.2956884,-0.5966749,-0.3885941,0.4222506,-0.304118,-0.2271135,-0.009316321,0.2271135,0.009316671,-0.2764714,-1.147575,0.2217969,-1.08759,-0.2197065,-2.378175,0.3486668,-2.239106,1
0.0195798,1.940819,-0.4253477,1.020217,0.4710267,0.9792616,-0.5650283,0.3174079,0.5833323,0.3021985,-0.6481847,-0.3752685,0.5193294,-0.3126531,-0.2513874,-0.008642373,0.2513871,0.008642724,-0.2884468,-1.131069,0.2616216,-1.101318,-0.2850564,-2.348233,0.3491918,-2.2788,1
-0.002830365,1.94167,-0.4671027,0.9993601,0.4644882,1.000638,-0.6082115,0.3099566,0.5934848,0.3092886,-0.6535169,-0.3618184,0.586795,-0.3229486,-0.2587521,-0.007926773,0.2587517,0.007926773,-0.2814823,-1.114792,0.2844465,-1.117135,-0.3295291,-2.312565,0.3250321,-2.318062,1
-0.02499488,1.94055,-0.4755567,0.9778777,0.425064,1.021485,-0.6081551,0.3024801,0.5624985,0.3164826,-0.6158429,-0.3491264,0.6186796,-0.3344845,-0.2487116,-0.007216093,0.2487116,0.007216093,-0.2561759,-1.099694,0.2887366,-1.133994,-0.3502216,-2.273798,0.2773461,-2.353821,1
-0.04476612,1.937726,-0.4517215,0.9573427,0.3541811,1.040277,-0.5678801,0.2955044,0.4897864,0.3232661,-0.5406204,-0.3379398,0.6102204,-0.3466306,-0.2219288,-0.006558248,0.2219285,0.006558598,-0.2141911,-1.086781,0.2740315,-1.150907,-0.3462441,-2.234961,0.2092996,-2.383446,1
-0.06035307,1.933923,-0.3987205,0.9392418,0.2560828,1.055666,-0.4926409,0.2894909,0.3784054,0.3291294,-0.4345919,-0.328862,0.5587147,-0.35865,-0.1801727,-0.005998755,0.1801731,0.005998755,-0.1581446,-1.077064,0.2410072,-1.167001,-0.3186146,-2.19921,0.1258751,-2.405051,1
-0.07057895,1.93025,-0.32118,0.9249103,0.1377083,1.066656,-0.3889794,0.2848324,0.2354739,0.3336368,-0.3050513,-0.3223727,0.4645143,-0.3697355,-0.126183,-0.005576583,0.126183,0.005576932,-0.09145945,-1.071512,0.1914802,-1.181576,-0.2699609,-2.169603,0.03339298,-2.417744,1
-0.07498114,1.92804,-0.2246333,0.9154873,0.008104895,1.072757,-0.2639763,0.2818497,0.0718663,0.3364933,-0.1593639,-0.3188483,0.3318967,-0.3790813,-0.06345622,-0.005323611,0.06345657,0.005323261,-0.01816419,-1.071003,0.128349,-1.19415,-0.2040967,-2.148907,-0.06117458,-2.421731,1
-0.07377488,1.928563,-0.1150316,0.9118422,-0.1225814,1.073993,-0.1247523,0.2807839,-0.09893887,0.3375866,-0.004744941,-0.3185585,0.1694341,-0.3859604,0.00400282,-0.005259825,-0.00400282,0.005260176,0.05730913,-1.07618,0.05545786,-1.204393,-0.1255731,-2.139318,-0.1509485,-2.418084,1
-0.06767481,1.932638,0.001547971,0.9144609,-0.2442324,1.07076,0.02172203,0.2817646,-0.2625693,0.3369664,0.1516927,-0.3216437,-0.01038259,-0.3898057,0.07191065,-0.005395503,-0.0719103,0.005395503,0.1303043,-1.08728,-0.02258084,-1.211999,-0.03930909,-2.142137,-0.229742,-2.408271,1
-0.05766901,1.940213,0.1189455,0.9232916,-0.347735,1.063579,0.168485,0.2847692,-0.405548,0.3347809,0.3026244,-0.3280537,-0.192332,-0.3902461,0.1358645,-0.005725998,-0.1358645,0.005725998,0.1960636,-1.103889,-0.1005691,-1.216489,0.04960806,-2.157373,-0.2924002,-2.393497,1
-0.04479381,1.950118,0.2307698,0.9376301,-0.425626,1.052855,0.3082101,0.2895861,-0.516691,0.3311965,0.4400599,-0.3374879,-0.3602307,-0.3871329,0.19147,-0.006231828,-0.1914696,0.006231828,0.2498552,-1.124773,-0.1729209,-1.217112,0.1359574,-2.18349,-0.3349291,-2.374259,1
-0.02999488,1.960181,0.3302549,0.9561112,-0.472531,1.038822,0.4328633,0.2958047,-0.5880279,0.3263617,0.5550746,-0.3493598,-0.4990157,-0.3805636,0.2345331,-0.006878244,-0.2345334,0.006878244,0.2872353,-1.147879,-0.2339789,-1.212938,0.2143806,-2.217455,-0.354578,-2.35034,1
-0.01406498,1.967773,0.4104145,0.9768843,-0.4855326,1.021705,0.5337597,0.3028658,-0.6153586,0.3204311,0.6381178,-0.3628069,-0.5968048,-0.3709147,0.2614434,-0.007614803,-0.2614434,0.007614803,0.3045582,-1.170602,-0.278556,-1.203202,0.2795401,-2.255213,-0.3500333,-2.321311,1
-0.007702345,2.004544,0.4791272,1.014383,-0.4716271,0.9856024,0.531269,0.2772724,-0.5627244,0.3795006,-0.1441532,0.3048598,-0.1023996,1.016768,0.2755604,-0.001052676,-0.2755604,0.00105248,0.1677617,-0.3892125,0.3762493,0.1621861,-0.0166496,-1.753467,0.8820691,-1.375514,0
-0.05968038,2.002118,0.4943234,1.008883,-0.427391,0.989997,0.5025977,0.2551394,-0.6394785,0.4017082,-0.2455854,0.3127002,-0.2229932,1.017754,0.2657849,-0.01573683,-0.2657845,0.01573702,-0.214344,-0.3871683,0.05767387,0.1518581,-0.3062484,-1.731014,0.4176287,-1.450199,0
-0.1068549,1.997322,0.4789624,1.002987,-0.3587858,0.993399,0.4399688,0.2345596,-0.6705379,0.4252128,-0.3279529,0.3241767,-0.3256198,1.019515,0.2393464,-0.02942503,-0.2393464,0.02942522,-0.5717094,-0.3586176,-0.2657963,0.1569049,-0.564837,-1.672561,-0.09784447,-1.46726,0
-0.1457544,1.991209,0.4325949,0.9973969,-0.2701658,0.9959964,0.3462432,0.217112,-0.65727,0.4484876,-0.385805,0.3384057,-0.4030842,1.022207,0.1978846,-0.04129795,-0.197885,0.04129795,-0.8682567,-0.3079409,-0.5613034,0.1766328,-0.7701092,-1.585985,-0.6002511,-1.423825,0
-0.173792,1.985026,0.3565114,0.9928716,-0.1663102,0.9980635,0.2267462,0.2042782,-0.6037073,0.4702973,-0.4161027,0.3543901,-0.4509047,1.025986,0.1438015,-0.05063866,-0.1438011,0.05063847,-1.080435,-0.2419658,-0.801726,0.2085181,-0.9085894,-1.481497,-1.029287,-1.32785,0
-0.1893793,1.979797,0.2540209,0.9900309,-0.05231977,0.9997724,0.08917417,0.1972711,-0.5154122,0.4896419,-0.4180431,0.3710768,-0.4672381,1.030848,0.08014218,-0.05684744,-0.08014256,0.05684725,-1.198782,-0.1681742,-0.9695778,0.2488755,-0.9756417,-1.36944,-1.343262,-1.195011,0
-0.1919071,1.976039,0.1307584,0.9892082,0.06627069,1.001063,-0.05671143,0.1968707,-0.3987132,0.505657,-0.3926884,0.3873928,-0.4524991,1.036532,0.01055581,-0.05945546,-0.01055581,0.05945546,-1.225397,-0.0933074,-1.057691,0.2936372,-0.9735765,-1.258762,-1.524749,-1.043491,0
-0.1816747,1.973714,-0.005131518,0.990407,0.1832727,1.001644,-0.1996846,0.2032899,-0.2604029,0.5175572,-0.3425989,0.4022856,-0.4089212,1.042523,-0.0607202,-0.05815801,0.0607202,0.05815801,-1.169786,-0.0226865,-1.067512,0.3389748,-0.909243,-1.156393,-1.577093,-0.8895444,0
-0.1597807,1.97242,-0.1432576,0.993367,0.2917299,1.001114,-0.3280918,0.216099,-0.1077424,0.5246528,-0.2715501,0.4147899,-0.340192,1.048174,-0.1289421,-0.05286994,0.1289417,0.05286994,-1.045122,0.03987627,-1.006456,0.3816728,-0.7920082,-1.067315,-1.516593,-0.7453158,0
-0.127991,1.97171,-0.2719272,0.9976913,0.38409,0.9991608,-0.4312567,0.2342469,0.05145965,0.5264271,-0.184294,0.424116,-0.251154,1.052892,-0.1891186,-0.04379145,0.189119,0.04379145,-0.8656936,0.09185681,-0.885388,0.4192837,-0.6323941,-0.9949675,-1.365036,-0.6186554,0
-0.0885474,1.971332,-0.3797107,1.002959,0.4527282,0.995708,-0.5009058,0.2561935,0.2088776,0.5226226,-0.08627492,0.4297186,-0.1474737,1.056278,-0.2364708,-0.03144658,0.2364705,0.03144658,-0.6454229,0.1317256,-0.7166262,0.4501274,-0.4412062,-0.9416643,-1.144582,-0.513954,0
-0.04395316,1.971281,-0.4571607,1.008762,0.4907656,0.9909557,-0.5321603,0.2801125,0.3558125,0.5132735,0.01668612,0.4313118,-0.03530151,1.05815,-0.2669753,-0.01667554,0.2669753,0.01667535,-0.3971193,0.1586381,-0.5125447,0.4731696,-0.2289982,-0.9089195,-0.8750085,-0.4332366,0
0.003191602,1.971667,-0.4981334,1.014684,0.4930468,0.9853096,-0.5238326,0.3041095,0.4833601,0.4987061,0.1186493,0.428836,0.07900468,1.058477,-0.2778729,-0.0005729401,0.2778732,0.0005731218,-0.132333,0.1721695,-0.2848266,0.4878357,-0.005901301,-0.8976517,-0.5727773,-0.3771389,0
