@relation un_stand

@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute posture {0,1}

@data
0.002337,1.970714,0.464671,0.99797,-0.464502,1.00203,0.602281,0.310156,-0.598522,0.313645,0.680145,-0.376794,-0.646566,-0.358881,0.26972,-0.008382,-0.26972,0.008381,0.299674,-1.190343,-0.302692,-1.187797,0.326565,-2.29262,-0.321702,-2.287408,1
0.018629,1.968119,0.487828,1.017681,-0.412148,0.980887,0.63113,0.31713,-0.541194,0.3064,0.67433,-0.39025,-0.64691,-0.345447,0.25854,-0.009115,-0.25854,0.009115,0.272552,-1.205125,-0.30438,-1.167634,0.351702,-2.326428,-0.271845,-2.250237,1
0.03422,1.960788,0.476995,1.034903,-0.333575,0.959948,0.615687,0.32339,-0.450068,0.299248,0.617787,-0.402216,-0.601648,-0.331784,0.228952,-0.009761,-0.228951,0.009761,0.225455,-1.21404,-0.283927,-1.144671,0.352874,-2.35494,-0.204378,-2.212942,1
0.048441,1.950864,0.432077,1.049099,-0.235356,0.941202,0.554931,0.328686,-0.333493,0.292819,0.512604,-0.411909,-0.518216,-0.319065,0.183634,-0.010278,-0.183634,0.010278,0.16256,-1.217243,-0.243735,-1.121498,0.329892,-2.377904,-0.1243,-2.179604,1
0.060491,1.940993,0.35576,1.06005,-0.124523,0.926537,0.451802,0.332844,-0.200123,0.2877,0.366008,-0.418725,-0.405678,-0.30828,0.126364,-0.010639,-0.126364,0.010639,0.089194,-1.215595,-0.187657,-1.100724,0.284303,-2.395826,-0.037042,-2.154267,1
0.069434,1.933406,0.253208,1.067538,-0.007893,0.917361,0.313134,0.335682,-0.058054,0.284324,0.189737,-0.42221,-0.273108,-0.300126,0.061436,-0.010832,-0.061436,0.010832,0.01106,-1.210143,-0.120279,-1.084417,0.219095,-2.409077,0.051986,-2.139995,1
0.074268,1.929316,0.131717,1.071153,0.108126,0.914413,0.149326,0.336981,0.085364,0.282921,-0.001151,-0.422073,-0.128796,-0.294981,-0.006713,-0.01085,0.006713,0.010849,-0.066297,-1.201744,-0.046399,-1.073812,0.138472,-2.417316,0.137559,-2.138328,1
0.074079,1.928785,0.00033,1.07035,0.217412,0.917762,-0.026335,0.336523,0.223245,0.283529,-0.189973,-0.418252,0.019793,-0.292951,-0.073694,-0.010694,0.073693,0.010694,-0.137786,-1.190944,0.029223,-1.069299,0.047755,-2.419476,0.214626,-2.149221,1
0.068256,1.930973,-0.130787,1.064674,0.31396,0.926921,-0.198964,0.334181,0.348797,0.286023,-0.360534,-0.410981,0.165697,-0.29395,-0.135275,-0.010374,0.135275,0.010374,-0.198942,-1.178079,0.101968,-1.070601,-0.046776,-2.414199,0.278334,-2.17129,1
0.056713,1.934569,-0.251309,1.05404,0.391903,0.941013,-0.353927,0.33001,0.455143,0.290177,-0.49924,-0.400821,0.302115,-0.297768,-0.187543,-0.009906,0.187543,0.009906,-0.246082,-1.163468,0.167473,-1.077008,-0.138227,-2.400478,0.324237,-2.202215,1
0.040053,1.93822,-0.351912,1.038896,0.445785,0.9589,-0.478832,0.324272,0.535449,0.295688,-0.596675,-0.388594,0.422251,-0.304118,-0.227113,-0.009316,0.227113,0.009317,-0.276471,-1.147575,0.221797,-1.08759,-0.219706,-2.378175,0.348667,-2.239106,1
0.01958,1.940819,-0.425348,1.020217,0.471027,0.979262,-0.565028,0.317408,0.583332,0.302198,-0.648185,-0.375269,0.519329,-0.312653,-0.251387,-0.008642,0.251387,0.008643,-0.288447,-1.131069,0.261622,-1.101318,-0.285056,-2.348233,0.349192,-2.2788,1
-0.00283,1.94167,-0.467103,0.99936,0.464488,1.000638,-0.608212,0.309957,0.593485,0.309289,-0.653517,-0.361818,0.586795,-0.322949,-0.258752,-0.007927,0.258752,0.007927,-0.281482,-1.114792,0.284446,-1.117135,-0.329529,-2.312565,0.325032,-2.318062,1
-0.024995,1.94055,-0.475557,0.977878,0.425064,1.021485,-0.608155,0.30248,0.562499,0.316483,-0.615843,-0.349126,0.61868,-0.334485,-0.248712,-0.007216,0.248712,0.007216,-0.256176,-1.099694,0.288737,-1.133994,-0.350222,-2.273798,0.277346,-2.353821,1
-0.044766,1.937726,-0.451721,0.957343,0.354181,1.040277,-0.56788,0.295504,0.489786,0.323266,-0.54062,-0.33794,0.61022,-0.346631,-0.221929,-0.006558,0.221929,0.006559,-0.214191,-1.086781,0.274031,-1.150907,-0.346244,-2.234961,0.2093,-2.383446,1
-0.060353,1.933923,-0.39872,0.939242,0.256083,1.055666,-0.492641,0.289491,0.378405,0.329129,-0.434592,-0.328862,0.558715,-0.35865,-0.180173,-0.005999,0.180173,0.005999,-0.158145,-1.077064,0.241007,-1.167001,-0.318615,-2.19921,0.125875,-2.405051,1
-0.070579,1.93025,-0.32118,0.92491,0.137708,1.066656,-0.388979,0.284832,0.235474,0.333637,-0.305051,-0.322373,0.464514,-0.369735,-0.126183,-0.005577,0.126183,0.005577,-0.091459,-1.071512,0.19148,-1.181576,-0.269961,-2.169603,0.033393,-2.417744,1
-0.074981,1.92804,-0.224633,0.915487,0.008105,1.072757,-0.263976,0.28185,0.071866,0.336493,-0.159364,-0.318848,0.331897,-0.379081,-0.063456,-0.005324,0.063457,0.005323,-0.018164,-1.071003,0.128349,-1.19415,-0.204097,-2.148907,-0.061175,-2.421731,1
